92,"[789, 5583]","[976.0, 6410.320754716981]"
93,"[789, 5583]","[1010.0833333333334, 6310.557692307692]"
94,"[789, 5583]","[1028.0392156862745, 6200.448979591837]"
95,"[789, 5583]","[940.26, 6290.68]"
96,"[789, 5583]","[973.4230769230769, 6100.5]"
97,"[789, 5583]","[936.38, 6170.9]"
98,"[789, 5583]","[1000.8846153846154, 6048.020833333333]"
99,"[789, 5583]","[907.936170212766, 6358.603773584906]"
100,"[789, 5583]","[908.0384615384615, 6107.854166666667]"
101,"[789, 5583]","[946.92, 6329.28]"
102,"[789, 5583]","[1093.25, 6115.708333333333]"
103,"[789, 5583]","[970.1224489795918, 6206.294117647059]"
104,"[789, 5583]","[949.1041666666666, 6257.692307692308]"
105,"[789, 5583]","[975.5106382978723, 6371.094339622641]"
106,"[789, 5583]","[1039.0961538461538, 6147.0625]"
107,"[789, 5583]","[1003.0833333333334, 6361.192307692308]"
108,"[789, 5583]","[1021.2156862745098, 6272.734693877551]"
109,"[789, 5583]","[1021.0408163265306, 6324.823529411765]"
110,"[789, 5583]","[1087.137254901961, 6227.163265306122]"
111,"[789, 5583]","[1035.5294117647059, 6325.102040816327]"
112,"[789, 5583]","[1044.4423076923076, 6120.895833333333]"
113,"[789, 5583]","[910.7777777777778, 6464.909090909091]"
114,"[789, 5583]","[987.4285714285714, 6290.78431372549]"
115,"[789, 5583]","[1029.313725490196, 6243.0]"
116,"[789, 5583]","[1127.7692307692307, 6157.041666666667]"
117,"[789, 5583]","[1137.1923076923076, 6214.0]"
118,"[789, 5583]","[978.6595744680851, 6325.11320754717]"
119,"[789, 5583]","[1924146.1923076923, 6163.208333333333]"
120,"[789, 5583]","[1203.5471698113208, 6074.191489361702]"
121,"[789, 5583]","[1064.6458333333333, 6315.384615384615]"
122,"[789, 5583]","[1079.3333333333333, 6379.153846153846]"
123,"[789, 5583]","[1192.9423076923076, 6260.6875]"
124,"[789, 5583]","[1091.8979591836735, 6319.058823529412]"
125,"[789, 5583]","[1129.42, 6270.54]"
126,"[789, 5583]","[1125.686274509804, 6256.0204081632655]"
127,"[789, 5583]","[979.3260869565217, 6387.888888888889]"
128,"[789, 5583]","[1213.0576923076924, 6110.708333333333]"
129,"[789, 5583]","[1150.42, 6285.98]"
130,"[789, 5583]","[1023.063829787234, 6416.490566037736]"
131,"[789, 5583]","[2001035.88, 6246.0]"
132,"[789, 5583]","[1123.2549019607843, 6230.734693877551]"
133,"[789, 5583]","[1069.061224489796, 6352.058823529412]"
134,"[789, 5583]","[1160.9038461538462, 6163.729166666667]"
135,"[789, 5583]","[1100.88, 6269.78]"
136,"[789, 5583]","[1134.3529411764705, 6132.530612244898]"
137,"[789, 5583]","[1120.12, 6317.2]"
138,"[789, 5583]","[1009.5869565217391, 6330.62962962963]"
139,"[789, 5583]","[1238.2884615384614, 6113.354166666667]"
140,"[789, 5583]","[1164.3846153846155, 6140.125]"
141,"[789, 5583]","[1089.4, 6221.7]"
142,"[789, 5583]","[1113.6923076923076, 6129.770833333333]"
143,"[789, 5583]","[1115.32, 6281.62]"
144,"[789, 5583]","[1104.0576923076924, 6190.729166666667]"
145,"[789, 5583]","[1113.5882352941176, 6198.877551020408]"
146,"[789, 5583]","[1156.3076923076924, 6140.958333333333]"
