434,"[1256, 3874]","[1256.0, 4317.0]"
435,"[1256, 3874]","[1256.0, 4317.0]"
436,"[1256, 3874]","[1256.0, 4317.0]"
437,"[1256, 3874]","[1256.0, 4317.0]"
438,"[1256, 3874]","[1256.0, 4317.0]"
439,"[1256, 3874]","[1256.0, 4317.0]"
440,"[1256, 3874]","[1256.0, 4317.0]"
441,"[1256, 3874]","[1256.0, 4317.0]"
442,"[1256, 3874]","[1256.0, 4317.0]"
443,"[1256, 3874]","[1256.0, 4317.0]"
444,"[1256, 3874]","[1256.0, 4317.0]"
445,"[1256, 3874]","[1256.0, 4317.0]"
446,"[1256, 3874]","[1256.0, 4317.0]"
447,"[1256, 3874]","[1256.0, 4317.0]"
448,"[1256, 3874]","[1256.0, 4317.0]"
449,"[1256, 3874]","[1256.0, 4317.0]"
450,"[1256, 3874]","[1256.0, 4317.0]"
451,"[1256, 3874]","[1256.0, 4317.0]"
452,"[1256, 3874]","[1256.0, 4317.0]"
453,"[1256, 3874]","[1256.0, 4317.0]"
454,"[1256, 3874]","[1256.0, 4317.0]"
455,"[1256, 3874]","[1256.0, 4317.0]"
456,"[1256, 3874]","[1256.0, 4317.0]"
457,"[1256, 3874]","[1256.0, 4317.0]"
458,"[1256, 3874]","[1256.0, 4317.0]"
459,"[1256, 3874]","[1256.0, 4317.0]"
460,"[1256, 3874]","[1256.0, 4317.0]"
461,"[1256, 3874]","[1256.0, 4317.0]"
462,"[1256, 3874]","[1256.0, 4317.0]"
463,"[1256, 3874]","[1256.0, 4317.0]"
464,"[1256, 3874]","[1256.0, 4317.0]"
465,"[1256, 3874]","[1256.0, 4317.0]"
466,"[1256, 3874]","[1256.0, 4317.0]"
467,"[1256, 3874]","[1256.0, 4317.0]"
468,"[1256, 3874]","[1256.0, 4317.0]"
469,"[1256, 3874]","[1256.0, 4317.0]"
470,"[1256, 3874]","[1256.0, 4317.0]"
471,"[1256, 3874]","[1256.0, 4317.0]"
472,"[1256, 3874]","[1256.0, 4317.0]"
473,"[1256, 3874]","[1256.0, 4317.0]"
474,"[1256, 3874]","[1256.0, 4317.0]"
475,"[1256, 3874]","[1256.0, 4317.0]"
476,"[1256, 3874]","[1256.0, 4317.0]"
477,"[1256, 3874]","[1256.0, 4317.0]"
478,"[1256, 3874]","[1256.0, 4317.0]"
479,"[1256, 3874]","[1256.0, 4317.0]"
480,"[1256, 3874]","[1256.0, 4317.0]"
481,"[1256, 3874]","[1256.0, 4317.0]"
482,"[1256, 3874]","[1256.0, 4317.0]"
483,"[1256, 3874]","[1256.0, 4317.0]"
484,"[1256, 3874]","[1256.0, 4317.0]"
485,"[1256, 3874]","[1256.0, 4317.0]"
486,"[1256, 3874]","[1256.0, 4317.0]"
487,"[1256, 3874]","[1256.0, 4317.0]"
488,"[1256, 3874]","[1256.0, 4317.0]"
489,"[1256, 3874]","[1256.0, 4317.0]"
490,"[1256, 3874]","[1256.0, 4317.0]"
491,"[1256, 3874]","[1256.0, 4317.0]"
492,"[1256, 3874]","[1256.0, 4317.0]"
493,"[1256, 3874]","[1256.0, 4317.0]"
494,"[1256, 3874]","[1256.0, 4317.0]"
495,"[1256, 3874]","[1256.0, 4317.0]"
496,"[1256, 3874]","[1256.0, 4317.0]"
497,"[1256, 3874]","[1256.0, 4317.0]"
498,"[1256, 3874]","[1256.0, 4317.0]"
499,"[1256, 3874]","[1256.0, 4317.0]"
